learning rate: 0.001
momentum: 0.9
batch size: 64
train Loss: 0.032879143953323364 	Acc: 0.22078

val Loss: 0.02401850000023842 	Acc: 0.431

train Loss: 0.027248574420809746 	Acc: 0.35152

val Loss: 0.01997746340930462 	Acc: 0.5143

train Loss: 0.024628693237900734 	Acc: 0.42036

val Loss: 0.017496557906270027 	Acc: 0.5977

train Loss: 0.022680839523673058 	Acc: 0.47452

val Loss: 0.016011890023946762 	Acc: 0.635

train Loss: 0.021264562383294106 	Acc: 0.51548

val Loss: 0.0150900324806571 	Acc: 0.6595

train Loss: 0.020013771951198578 	Acc: 0.553

val Loss: 0.01377654355019331 	Acc: 0.6929

train Loss: 0.019187984988093376 	Acc: 0.57332

val Loss: 0.013361849822103977 	Acc: 0.7037

train Loss: 0.018378471955657005 	Acc: 0.59242

val Loss: 0.01265585795044899 	Acc: 0.7185

train Loss: 0.01763206534087658 	Acc: 0.60988

val Loss: 0.012071816250681877 	Acc: 0.7304

train Loss: 0.017155732959508896 	Acc: 0.62382

val Loss: 0.01198438461869955 	Acc: 0.7369

train Loss: 0.016686411574482918 	Acc: 0.63164

val Loss: 0.01143738254904747 	Acc: 0.7495

train Loss: 0.016211476176977158 	Acc: 0.64272

val Loss: 0.011175701394677162 	Acc: 0.753

train Loss: 0.015808958560228348 	Acc: 0.65048

val Loss: 0.010948891751468182 	Acc: 0.7592

train Loss: 0.015407772734761238 	Acc: 0.66492

val Loss: 0.010803199373185635 	Acc: 0.764

train Loss: 0.015189653262495995 	Acc: 0.66758

val Loss: 0.010544112883508205 	Acc: 0.7694

train Loss: 0.014818918891251087 	Acc: 0.67768

val Loss: 0.010261542163789272 	Acc: 0.7772

train Loss: 0.014573665335774422 	Acc: 0.6844

val Loss: 0.010211404412984848 	Acc: 0.7738

train Loss: 0.014300432987511158 	Acc: 0.6884

val Loss: 0.010197266936302185 	Acc: 0.7764

train Loss: 0.014067588374018669 	Acc: 0.69268

val Loss: 0.009970777668058872 	Acc: 0.7799

train Loss: 0.013747788034379482 	Acc: 0.70168

val Loss: 0.009847155772149563 	Acc: 0.7861

train Loss: 0.013677552342414856 	Acc: 0.70328

val Loss: 0.00960534531623125 	Acc: 0.7881

train Loss: 0.013448745012283325 	Acc: 0.70718

val Loss: 0.009493207558989525 	Acc: 0.7921

train Loss: 0.013246031478047371 	Acc: 0.71268

val Loss: 0.009459389373660088 	Acc: 0.7955

train Loss: 0.013189257122576237 	Acc: 0.71436

val Loss: 0.009445752948522568 	Acc: 0.7936

train Loss: 0.012955357320606709 	Acc: 0.71856

val Loss: 0.009282171726226807 	Acc: 0.7997

train Loss: 0.012690612114965916 	Acc: 0.72576

val Loss: 0.009330768138170242 	Acc: 0.7971

train Loss: 0.012638579122722149 	Acc: 0.72592

val Loss: 0.009159920737147331 	Acc: 0.8014

train Loss: 0.012561281211674213 	Acc: 0.72818

val Loss: 0.009147522039711475 	Acc: 0.8022

train Loss: 0.012255660258233547 	Acc: 0.73402

val Loss: 0.008755262941122055 	Acc: 0.8122

train Loss: 0.012253489345312119 	Acc: 0.73372

val Loss: 0.008817714639008045 	Acc: 0.8075

train Loss: 0.012107727117836475 	Acc: 0.73886

val Loss: 0.008723540231585503 	Acc: 0.8109

train Loss: 0.011898355558514595 	Acc: 0.74134

val Loss: 0.008718353696167469 	Acc: 0.8116

train Loss: 0.01182371936738491 	Acc: 0.74326

val Loss: 0.008622640743851662 	Acc: 0.8139

train Loss: 0.011564002372324467 	Acc: 0.74972

val Loss: 0.00863130483776331 	Acc: 0.8123

train Loss: 0.011612535454332829 	Acc: 0.7485

val Loss: 0.008408192545175552 	Acc: 0.8182

train Loss: 0.011483335867524147 	Acc: 0.7531

val Loss: 0.008653630502521992 	Acc: 0.8142

train Loss: 0.011391298845410347 	Acc: 0.7544

val Loss: 0.008563719689846039 	Acc: 0.8154

train Loss: 0.011288659647107124 	Acc: 0.7567

val Loss: 0.008377422578632832 	Acc: 0.8169

train Loss: 0.011160630732774734 	Acc: 0.7581

val Loss: 0.00820709764957428 	Acc: 0.8211

train Loss: 0.01106518879532814 	Acc: 0.75904

val Loss: 0.008324725553393364 	Acc: 0.8215

train Loss: 0.010981176048517227 	Acc: 0.7632

val Loss: 0.00826610904186964 	Acc: 0.8203

train Loss: 0.010981504805386066 	Acc: 0.7625

val Loss: 0.008309825323522091 	Acc: 0.8189

train Loss: 0.01084508653730154 	Acc: 0.76576

val Loss: 0.008095232769846916 	Acc: 0.8213

